id,taxa,
220005,0,
220025,0,
220027,0,
220045,0,
220070,0,
220090,0,
220095,0,
220105,0,
220110,0,
220155,153.85,
220157,0,
220170,0,
220173,0,
220180,0,
220190,0,
220192,0,
220198,0,
220202,21.81,
220207,0,
220209,0,
220210,0,
220211,0,
220213,0,
220225,0,
220230,0,
220245,0,
220250,0,
220255,0,
220260,0,
220275,0,
220277,0,
220280,0,
220285,0,
220310,0,
220320,0,
220323,0,
220327,0,
220335,0,
220340,0,
220342,0,
220345,0,
220360,0,
220375,0,
220380,0,
220385,0,
220415,50.08,
220420,0,
220430,0,
220435,0,
220455,0,
220470,0,
220480,34.67,
220490,0,
220500,0,
220510,0,
220515,0,
220520,0,
220535,0,
220551,0,
220552,0,
220553,0,
220556,0,
220557,0,
220559,0,
220590,0,
220595,0,
220605,0,
220635,0,
220650,14.92,
220665,0,
220670,0,
220690,0,
220700,0,
220720,0,
220730,30.21,
220735,0,
220740,0,
220755,0,
220777,0,
220780,0,
220785,0,
220790,0,
220793,0,
220795,0,
220800,0,
220810,5.26,
220820,0,
220830,0,
220865,0,
220870,0,
220887,0,
220900,0,
220910,0,
220915,0,
220930,0,
220935,0,
220937,0,
220940,0,
220950,0,
220955,0,
220965,0,
220970,0,
220985,0,
220987,0,
220990,0,
220995,0,
221000,0,
221005,0,
221010,0,
221020,0,
221030,0,
221035,0,
221037,0,
221039,0,
221040,0,
221060,0,
221063,0,
221070,0,
221080,0,
221090,0,
221093,0,
221095,0,
221097,0,
221130,0,
221135,0,
221150,0,
221160,0,
221170,0,
230010,0,
230015,0,
230030,9.37,
230040,0,
230050,0,
230060,0,
230070,0,
230080,0,
230090,4.73,
230110,23.7,
230120,0,
230125,0,
230130,0,
230140,56.23,
230150,0,
230160,0,
230170,0,
230180,0,
230185,0,
230190,0,
230195,4.69,
230200,0,
230210,0,
230240,96.95,
230250,26.5,
230270,0,
230280,0,
230290,0,
230300,9.74,
230310,38.7,
230320,0,
230330,0,
230340,0,
230360,0.5,
230365,0,
230370,0,
230380,0,
230393,0,
230395,0,
230400,0,
230410,0,
230420,0,
230423,0,
230426,4.19,
230427,0,
230430,0,
230435,0,
230450,0,
230460,87.27,
230465,0,
230480,8.33,
230490,83.33,
230500,0,
230510,0,
230520,0,
230523,11.87,
230526,0,
230530,3.92,
230533,0,
230535,0.69,
230540,0,
230550,62.7,
230560,0,
230565,0,
230570,0,
230580,5.81,
230590,0,
