id,taxa,,,,,
220005,60.85,,,,,
220025,53.27,,,,,
220027,100,,,,,
220045,96,,,,,
220070,56.76,,,,,
220090,53.11,,,,,
220095,0,,,,,
220105,100,,,,,
220110,51.81,,,,,
220155,0,,,,,
220157,60.6,,,,,
220170,55.6,,,,,
220173,0,,,,,
220180,53.67,,,,,
220190,54.59,,,,,
220192,55.72,,,,,
220198,53.26,,,,,
220202,85.84,,,,,
220207,0,,,,,
220209,0,,,,,
220210,51.68,,,,,
220211,0,,,,,
220213,54.23,,,,,
220225,62.34,,,,,
220230,52.35,,,,,
220245,100,,,,,
220250,51.33,,,,,
220255,57.34,,,,,
220260,51.33,,,,,
220275,52.68,,,,,
220277,53.21,,,,,
220280,51.44,,,,,
220285,55.01,,,,,
220310,54.56,,,,,
220320,52.13,,,,,
220323,0,,,,,
220327,54.16,,,,,
220335,54.8,,,,,
220340,73.76,,,,,
220342,51.46,,,,,
220345,0,,,,,
220360,51.55,,,,,
220375,0,,,,,
220380,65.91,,,,,
220385,0,,,,,
220415,0,,,,,
220420,51.24,,,,,
220430,65.47,,,,,
220435,0,,,,,
220455,52.09,,,,,
220470,57.22,,,,,
220480,51.96,,,,,
220490,51.45,,,,,
220500,52.39,,,,,
220510,53.62,,,,,
220515,52.89,,,,,
220520,56.84,,,,,
220535,60,,,,,
220551,52.47,,,,,
220552,60.87,,,,,
220553,50.93,,,,,
220556,0,,,,,
220557,0,,,,,
220559,0,,,,,
220590,51.24,,,,,
220595,0,,,,,
220605,0,,,,,
220635,100,,,,,
220650,73.72,,,,,
220665,0,,,,,
220670,80.37,,,,,
220690,62.44,,,,,
220700,53.12,,,,,
220720,51.95,,,,,
220730,52.04,,,,,
220735,40,,,,,
220740,54.52,,,,,
220755,59.81,,,,,
220777,54.06,,,,,
220780,54.5,,,,,
220785,51.06,,,,,
220790,53.35,,,,,
220793,0,,,,,
220795,55.78,,,,,
220800,62.97,,,,,
220810,51.42,,,,,
220820,59.91,,,,,
220830,81.14,,,,,
220865,0,,,,,
220870,0,,,,,
220887,0,,,,,
220900,77.75,,,,,
220910,51.49,,,,,
220915,82.96,,,,,
220930,55.37,,,,,
220935,54.45,,,,,
220937,67.5,,,,,
220940,50.66,,,,,
220950,64.84,,,,,
220955,52.98,,,,,
220965,64.84,,,,,
220970,80.37,,,,,
220985,59.52,,,,,
220987,0,,,,,
220990,51.65,,,,,
220995,50,,,,,
221000,56.87,,,,,
221005,50.87,,,,,
221010,66.66,,,,,
221020,52.57,,,,,
221030,62.34,,,,,
221035,56.7,,,,,
221037,56.93,,,,,
221039,0,,,,,
221040,77.39,,,,,
221060,52.11,,,,,
221063,55.16,,,,,
221070,52.18,,,,,
221080,55.85,,,,,
221090,60.93,,,,,
221093,0,,,,,
221095,0,,,,,
