id,taxa
220005,4.07
220025,5.07
220027,45
220045,32.3
220070,14.82
220090,22.17
220095,0
220105,18
220110,17.93
220155,0
220157,14.49
220170,24.76
220173,0
220180,9.04
220190,26.48
220192,6
220198,6.71
220202,58.43
220207,0
220209,0
220210,8.17
220211,0
220213,20.26
220225,8.31
220230,36.15
220245,15
220250,15.41
220255,7.85
220260,29.17
220275,18.26
220277,14.04
220280,15.57
220285,6
220310,16.41
220320,31.91
220323,0
220327,6.19
220335,5.67
220340,8.04
220342,5.94
220345,0
220360,22.98
220375,0
220380,15.27
220385,0
220415,0
220420,9.17
220430,17.01
220435,0
220455,10.74
220470,39.45
220480,37.85
220490,10.76
220500,9.3
220510,19.74
220515,5.44
220520,42.12
220535,20
220551,5.12
220552,7.2
220553,8.21
220556,0
220557,0
220559,0
220590,16.53
220595,0
220605,0
220635,43
220650,8.78
220665,0
220670,10.87
220690,10.31
220700,69.8
220720,10.37
220730,10.97
220735,5
220740,4.93
220755,2.61
220777,8.71
220780,31.46
220785,6.51
220790,44.96
220793,0
220795,5.08
220800,118.64
220810,25.4
220820,19.33
220830,103.96
220865,0
220870,0
220887,0
220900,13.81
220910,9.51
220915,20
220930,9.61
220935,7.22
220937,16.84
220940,11.69
220950,7.79
220955,2.9
220965,6.38
220970,17.07
220985,6.76
220987,0
220990,17.52
220995,130
221000,64.22
221005,11.46
221010,12.62
221020,16.62
221030,23.13
221035,11.93
221037,3.64
221039,0
221040,9.69
221060,93.6
221063,4.75
221070,24.75
221080,27.57
221090,13.65
221093,0
221095,0
221097,0
221130,29.73
221135,5.46
221150,0
221160,0
221170,4.85
230010,11.14
230015,34.37
230030,44.42
230040,0
230050,15.26
230060,33.28
230070,12.17
230080,24.94
230090,21.63
230110,162.49
230120,58.16
230125,18.18
230130,47.66
230140,12.66
230150,21.86
230160,36.25
230170,35.83
230180,28.13
230185,23
230190,98.54
230195,113.32
230200,59.18
230210,54.85
230240,236
230250,0
230270,41.99
230280,109.3
230290,26.39
230300,32.49
230310,32.12
230320,40
230330,14.72
230340,41.09
230360,20.51
230365,23.39
230370,600.29
230380,50.56
230393,11.78
230395,72.51
230400,44.03
230410,151.55
230420,269.5
230423,17.11
230426,16
230427,16.28
230430,23.01
230435,33.52
230450,55.89
230460,10.74
230465,19.83
230480,9.68
230490,35.22
